series,parameter,fusion.type,posterior
H,0,M1-M2,0.83
H,0,M1|M2,0.17
H,0,Red.,0.00529
H,25,M1-M2,0.498
H,25,M1|M2,0.502
H,25,Red.,0.0935
H,50,M1-M2,0.48
H,50,M1|M2,0.52
H,50,Red.,0.208
H,75,M1-M2,0.379
H,75,M1|M2,0.621
H,75,Red.,0.283
H,100,M1-M2,0.022
H,100,M1|M2,0.978
H,100,Red.,0.0122
I,0,M1-M2,0.784
I,0,M1|M2,0.216
I,0,Red.,0.00533
I,25,M1-M2,0.773
I,25,M1|M2,0.227
I,25,Red.,0.122
I,50,M1-M2,0.794
I,50,M1|M2,0.206
I,50,Red.,0.205
I,75,M1-M2,0.725
I,75,M1|M2,0.275
I,75,Red.,0.336
I,100,M1-M2,0.538
I,100,M1|M2,0.462
I,100,Red.,0.261
